user_id,view,cart,remove_from_cart,purchase
367176894,1.0,,,
367495830,2.0,,,
367610169,1.0,2.0,,
367625144,1.0,,,
367646030,1.0,,,
367708048,1.0,,1.0,
367709492,2.0,,,
367818280,1.0,1.0,,1.0
367931162,1.0,1.0,,1.0
368066225,1.0,,,
368129785,1.0,,,
368188072,1.0,,,
368232142,,1.0,,
368455033,1.0,,,
368464072,2.0,,,
368602197,1.0,1.0,,
368675880,1.0,,,
368746868,1.0,,,1.0
368754108,3.0,,,
368893434,1.0,2.0,2.0,
369005318,1.0,,,
369033958,,4.0,2.0,1.0
369037022,2.0,,,
369050685,1.0,,,
369119732,,1.0,1.0,
369244714,1.0,1.0,,1.0
369394517,2.0,1.0,,
369467192,1.0,,,
369531716,2.0,,,
369688014,1.0,,,
369889510,1.0,,,
369972903,,,,1.0
370204197,,1.0,,1.0
370212350,2.0,,,
370238357,1.0,,,
370430965,1.0,,,
370493410,,2.0,,1.0
370496145,5.0,1.0,1.0,
370500372,1.0,,,
370501592,2.0,2.0,2.0,
370505328,1.0,,,
370772017,2.0,,1.0,
370874288,1.0,,,
370933939,,1.0,1.0,
371128797,1.0,1.0,1.0,
371586269,1.0,,,
371732593,2.0,1.0,,1.0
371769436,1.0,,,
371846111,,,1.0,
371855632,1.0,,,
372081199,5.0,2.0,1.0,
372239202,5.0,1.0,,
372246203,,1.0,,1.0
372266111,,1.0,,1.0
372335605,1.0,,,
372338704,,1.0,,1.0
372437464,3.0,,,1.0
372513911,1.0,,,
372521135,1.0,,,
372535565,3.0,,,
372983194,,1.0,,
373073957,1.0,,,
373100435,1.0,,,
373198206,,1.0,,1.0
373229809,,1.0,,
373247372,1.0,,,
373369671,,1.0,,
373394127,1.0,,,
373439457,2.0,2.0,1.0,1.0
373509340,,1.0,,
373606827,,1.0,,1.0
373633253,2.0,,1.0,
373651911,1.0,,,
373686251,1.0,,,
